freq,db l,db r
28.1884947918829,93.4968093819465,93.3493344905739
28.3522922862884,93.5057093738249,93.3581865800681
28.5170415739476,93.5146093657034,93.3670386695623
28.6827481855335,93.5235093575818,93.3758907590565
28.8494176838569,93.5325469299141,93.3849259154973
29.0170556640527,93.5484925104038,93.4031529878355
29.1856677537684,93.5644380908935,93.4213800601736
29.355259613352,93.5803836713832,93.4396071325117
29.525836936043,93.5963292518729,93.4578342048498
29.6974054481632,93.6122748323626,93.4760612771879
29.8699709093085,93.6282204128523,93.4942883495261
30.0435391125429,93.644165993342,93.5125154218642
30.2181158845927,93.6601115738317,93.5307424942023
30.3937070860419,93.6760571543214,93.5489695665404
30.5703186115293,93.6882470112474,93.5633064481602
30.7479563899462,93.6987328881213,93.5758783416836
30.9266263846354,93.7092187649952,93.5884502352069
31.1063345935916,93.719704641869,93.6010221287303
31.2870870496623,93.7301905187429,93.6135940222537
31.4688898207509,93.7406763956168,93.6261659157771
31.6517490100201,93.7511622724906,93.6387378093005
31.8356707560966,93.7616481493645,93.6513097028239
32.0206612332777,93.7721340262384,93.6638815963473
32.2067266517381,93.7831277578245,93.6761540160369
32.3938732577383,93.7942218213453,93.6883672715828
32.5821073338351,93.8053158848661,93.7005805271288
32.7714351990913,93.8164099483869,93.7127937826748
32.9618632092889,93.8275040119077,93.7250070382208
33.1533977571418,93.8385980754285,93.7372202937667
33.3460452725108,93.8496921389493,93.7494335493127
33.5398122226193,93.8607862024701,93.7616468048587
33.73470511227,93.8734162517132,93.7759786518041
33.9307304840643,93.8882187578806,93.7933069774856
34.1278949186207,93.903021264048,93.810635303167
34.3262050347967,93.9178237702154,93.8279636288485
34.5256674899104,93.9326262763828,93.8452919545299
34.7262889799643,93.9474287825501,93.8626202802113
34.92807623987,93.9622312887175,93.8799486058927
35.1310360436742,93.9770337948849,93.8972769315742
35.3351752047861,93.9911171015856,93.913071745885
35.5405005762064,94.0040523006933,93.9264185104823
35.7470190507572,94.016987499801,93.9397652750797
35.954737561313,94.0299226989088,93.953112039677
36.1636630810341,94.0428578980165,93.9664588042743
36.3738026236004,94.0557930971243,93.9798055688717
36.5851632434467,94.068728296232,93.993152333469
36.7977520359997,94.0816634953397,94.0064990980664
37.0115761379161,94.092795179496,94.0195377170589
37.2266427273225,94.1032012117145,94.0324523523522
37.4429590240557,94.113607243933,94.0453669876455
37.6605322899058,94.1240132761516,94.0582816229389
37.8793698288595,94.1344193083701,94.0711962582322
38.0994789873455,94.1448253405886,94.0841108935255
38.3208671544809,94.1552313728071,94.0970255288189
38.5435417623198,94.165865630638,94.1095788535796
38.767510286102,94.1768925302895,94.1215105757786
38.9927802445048,94.187919429941,94.1334422979777
39.2193591998945,94.1989463295925,94.1453740201767
39.4472547585812,94.209973229244,94.1573057423758
39.6764745710733,94.2210001288955,94.1692374645748
39.9070263323351,94.232027028547,94.1811691867739
40.1389177820443,94.2392727686164,94.1901232300005
40.3721567048526,94.2385568516595,94.1928074350471
40.6067509306467,94.2378409347026,94.1954916400936
40.8427083348109,94.2371250177457,94.1981758451402
41.0800368384919,94.2364091007888,94.2008600501868
41.3187444088645,94.2356931838319,94.2035442552333
41.5588390593991,94.234977266875,94.2062284602799
41.8003288501307,94.2376268598416,94.2118068274593
42.0432218879295,94.2429993453481,94.2197267395041
42.2875263267732,94.2483718308546,94.227646651549
42.5332503680202,94.2537443163611,94.2355665635938
42.7804022606856,94.2591168018675,94.2434864756386
43.0289903017178,94.264489287374,94.2514063876834
43.2790228362769,94.2696607706071,94.2592354742724
43.5305082580151,94.2698865245509,94.2648297696346
43.7834550093582,94.2701122784947,94.2704240649969
44.0378715817896,94.2703380324384,94.2760183603591
44.2937665161344,94.2705637863822,94.2816126557214
44.5511484028471,94.270789540326,94.2872069510836
44.8100258822993,94.2710152942698,94.2928012464459
45.0704076450701,94.2723507614073,94.2987994361641
45.3323024322378,94.274032353199,94.3049236023915
45.5957190356731,94.2757139449907,94.3110477686189
45.8606662983348,94.2773955367824,94.3171719348463
46.1271531145658,94.2790771285741,94.3232961010738
46.3951884303926,94.2807587203658,94.3294202673012
46.6647812438251,94.2806452686918,94.3333042502156
46.9359406051586,94.2797833386434,94.3362541450166
47.2086756172779,94.278921408595,94.3392040398177
47.4829954359629,94.2780594785466,94.3421539346187
47.7589092701957,94.2771975484981,94.3451038294197
48.0364263824698,94.2763356184497,94.3480537242207
48.3155560891014,94.2781579599902,94.3544064628699
48.5963077605415,94.2804371520083,94.3613383496366
